n_patients,n_rows,n_constant_covariates,n_time_dependent_covariates,package,n_bootstraps,batch_size,mean_time_s,n_repeats,status
1000,7471,0,1,bootstrap_r_survival,1000,25,8.552074432373047,1,ok
1000,7471,0,1,bootstrap_sgpu_cpu_f32,1000,25,13.279710292816162,1,ok
1000,7471,0,1,bootstrap_sgpu_cuda_f32,1000,25,12.744149684906006,1,ok
5000,36635,0,1,bootstrap_r_survival,1000,25,42.745113372802734,1,ok
5000,36635,0,1,bootstrap_sgpu_cpu_f32,1000,25,47.668922424316406,1,ok
5000,36635,0,1,bootstrap_sgpu_cuda_f32,1000,25,13.693922996520996,1,ok
10000,73220,0,1,bootstrap_r_survival,1000,25,262.2535228729248,1,ok
10000,73220,0,1,bootstrap_sgpu_cpu_f32,1000,25,78.92858362197876,1,ok
10000,73220,0,1,bootstrap_sgpu_cuda_f32,1000,25,14.319709300994873,1,ok
50000,367939,0,1,bootstrap_r_survival,1000,25,1263.8449668884277,1,ok
50000,367939,0,1,bootstrap_sgpu_cpu_f32,1000,25,490.7765529155731,1,ok
50000,367939,0,1,bootstrap_sgpu_cuda_f32,1000,25,34.8666250705719,1,ok
100000,735545,0,1,bootstrap_r_survival,1000,25,2014.9824619293213,1,ok
100000,735545,0,1,bootstrap_sgpu_cpu_f32,1000,25,962.3868169784546,1,ok
100000,735545,0,1,bootstrap_sgpu_cuda_f32,1000,25,67.12494611740112,1,ok
